radius,density,mass,gravity
4973.182,4.80453,3.682705311606739e+24,9.93811426210721
4985.974,4.79755,3.7018420956969896e+24,9.93856298548443
4998.766,4.79054,3.721049301428827e+24,9.939065058132424
5011.558,4.78353,3.740326833366345e+24,9.93961939289541
5024.351,4.7765,3.759676130628715e+24,9.940225020980973
5037.143,4.76945,3.779094048600497e+24,9.940880731686795
5049.935,4.7623999999999995,3.798582014819398e+24,9.941585570983834
5062.727,4.755319999999999,3.818139925903119e+24,9.942338500691248
5075.519,4.74824,3.8377676764197476e+24,9.943138494479218
5088.312,4.74113,3.857466702589158e+24,9.943984608580003
5101.104,4.73402,3.8772338152135985e+24,9.944875707476386
5113.896,4.72689,3.8970704596049246e+24,9.945810914216358
5126.688,4.71974,3.91697650122355e+24,9.94678919434427
5139.481,4.71258,3.936953389760148e+24,9.94780966256334
5152.273,4.7054,3.9569978842934063e+24,9.948871200399909
5165.065,4.6982,3.9771114011810025e+24,9.949972881275839
5177.857,4.69099,3.9972938182113516e+24,9.951113767765483
5190.649,4.683770000000001,4.017545032681702e+24,9.952292986303943
5203.442,4.67653,4.03786651079885e+24,9.95350971932966
5216.234,4.66927,4.0582549254921757e+24,9.954762815944319
5229.026,4.661989999999999,4.078711708803109e+24,9.956051416326988
5241.818,4.6547,4.099236727793037e+24,9.957374633562086
5254.61,4.647390000000001,4.1198298474058675e+24,9.958731590342662
5267.403,4.64007,4.1404925495489915e+24,9.960121531810863
5280.195,4.63273,4.1612214646068577e+24,9.961543382092781
5292.987,4.62537,4.182018039910608e+24,9.962996342666631
5305.779,4.61799,4.2028821090971734e+24,9.96447952002792
5318.571,4.610600000000001,4.223813526015293e+24,9.965992083373333
5331.364,4.60319,4.244813787854418e+24,9.967533335374025
5344.156,4.59576,4.265879438180277e+24,9.969102168161278
5356.948,4.588310000000001,4.287011938756517e+24,9.970697839951265
5369.74,4.58084,4.3082111112525316e+24,9.972319501374091
5382.532,4.57336,4.329476798069005e+24,9.973966365129732
5395.325,4.56586,4.350810511001467e+24,9.975637786825414
5408.117,4.55834,4.3722087294327314e+24,9.977332680518478
5420.909,4.550800000000001,4.3936729290942595e+24,9.979050356395224
5433.701,4.54324,4.415202919543233e+24,9.980790006165316
5446.494,4.53566,4.4368001999896475e+24,9.982550971144374
5459.286,4.52807,4.4584612224052006e+24,9.984332237026857
5472.078,4.520449999999999,4.480187473207513e+24,9.98613315250573
5484.87,4.51282,4.501978752024205e+24,9.987952940263641
5497.662,4.50516,4.523834855929212e+24,9.98979083051995
5510.455,4.49749,4.545757297048509e+24,9.991646209832226
5523.247,4.48979,4.567742440075811e+24,9.99351803305898
5536.039,4.48208,4.589791784032765e+24,9.995405693551369
5548.831,4.47435,4.6119051404052534e+24,9.997308504165412
5561.623,4.46659,4.6340822688281616e+24,9.999225677499037
5574.416,4.458819999999999,4.656324693557037e+24,10.001156641563997
5587.208,4.451020000000001,4.6786287163342323e+24,10.003100374560857
5600.0,4.4432,4.700995823076492e+24,10.005056257002368
5614.429,4.43436,4.7263007039836054e+24,10.007276165415885
5628.857,4.42549,4.75168348099727e+24,10.009509500432829
5643.286,4.416600000000001,4.7771473421808285e+24,10.011755583876194
5657.714,4.40768,4.8026884233096324e+24,10.01401312698182
5672.143,4.39873,4.828309896845377e+24,10.016281414951372
5686.571,4.38975,4.854007838705981e+24,10.018559115962661
5701.0,4.380739999999999,4.879785433707607e+24,10.020845538379925
5701.0,3.99212,4.879785433707607e+24,10.020845538379925
5718.5,3.9880500000000003,4.908391924573013e+24,10.017992580137427
5736.0,3.98397,4.937144643328722e+24,10.015284468304882
5753.5,3.9799,4.966043767604513e+24,10.012719079998467
5771.0,3.97582,4.995089473383505e+24,10.01029432447268
5784.333,3.9590199999999998,5.017279154121197e+24,10.00846361805684
5797.667,3.94221,5.039478610773858e+24,10.006559809188149
5811.0,3.92541,5.061683879311164e+24,10.004582990864705
5824.333,3.9086,5.083895983513759e+24,10.00253282570217
5837.667,3.8918000000000004,5.106115953341012e+24,10.000408970577922
5851.0,3.87499,5.128339812675636e+24,9.998211558009196
5864.333,3.85819,5.150568577849714e+24,9.995940240554477
